date,region,product,sales,profit
2024-01-01,광주,B,982,173
2024-01-01,광주,C,134,124
2024-01-01,부산,D,148,123
2024-01-01,광주,A,745,74
2024-01-01,서울,B,389,147
2024-01-01,서울,C,162,28
2024-01-02,대구,C,995,78
2024-01-02,부산,C,725,179
2024-01-02,부산,B,671,54
2024-01-03,서울,C,422,194
2024-01-04,부산,B,389,174
2024-01-04,대구,D,226,89
2024-01-04,부산,B,764,71
2024-01-04,광주,D,290,73
2024-01-05,광주,D,204,171
2024-01-05,광주,B,710,109
2024-01-05,인천,C,283,57
2024-01-05,부산,B,932,133
2024-01-05,서울,A,972,102
2024-01-06,대구,C,650,28
2024-01-06,부산,B,917,43
2024-01-06,광주,B,746,97
2024-01-06,서울,B,683,167
2024-01-07,인천,C,905,195
2024-01-07,부산,A,836,92
2024-01-08,광주,A,778,23
2024-01-08,부산,B,216,78
2024-01-08,부산,C,703,94
2024-01-09,광주,D,556,104
2024-01-09,대구,C,850,105
2024-01-09,부산,C,780,184
2024-01-10,인천,B,491,140
2024-01-10,부산,D,678,13
2024-01-12,인천,A,403,86
2024-01-12,대구,C,951,173
2024-01-12,인천,D,659,42
2024-01-13,부산,B,881,158
2024-01-13,서울,A,293,118
2024-01-13,서울,A,812,113
2024-01-13,인천,D,140,189
2024-01-14,대구,C,946,59
2024-01-14,인천,B,939,72
2024-01-14,서울,C,215,116
2024-01-14,부산,C,738,88
2024-01-15,인천,A,672,170
2024-01-15,부산,B,213,138
2024-01-15,대구,B,490,175
2024-01-16,서울,D,821,178
2024-01-17,인천,A,728,85
2024-01-18,부산,B,649,17
2024-01-19,인천,A,267,97
2024-01-19,대구,C,395,104
2024-01-20,서울,B,112,135
2024-01-20,광주,A,550,129
2024-01-20,서울,C,162,31
2024-01-21,부산,D,281,167
2024-01-21,대구,C,540,91
2024-01-22,부산,B,347,102
2024-01-22,부산,D,369,157
2024-01-22,광주,C,681,136
2024-01-23,인천,D,584,82
2024-01-23,대구,C,505,33
2024-01-25,대구,B,763,93
2024-01-25,광주,A,552,178
2024-01-25,대구,C,376,101
2024-01-26,대구,A,790,91
2024-01-26,서울,B,474,154
2024-01-26,광주,B,998,179
2024-01-27,인천,A,954,104
2024-01-28,대구,C,196,62
2024-01-28,서울,D,948,46
2024-01-28,광주,C,292,114
2024-01-28,인천,D,448,175
2024-01-28,부산,B,616,103
2024-01-29,서울,A,727,79
2024-01-29,광주,A,301,198
2024-01-30,대구,A,210,162
2024-01-31,서울,B,359,127
2024-02-02,인천,D,165,51
2024-02-02,서울,A,165,12
2024-02-02,대구,A,548,112
2024-02-03,광주,B,861,52
2024-02-03,광주,B,919,111
2024-02-03,서울,C,469,32
2024-02-03,서울,C,176,68
2024-02-04,광주,D,494,178
2024-02-04,대구,A,632,196
2024-02-04,광주,B,687,155
2024-02-04,서울,A,298,97
2024-02-04,서울,D,148,59
2024-02-05,인천,C,174,96
2024-02-05,부산,C,426,185
2024-02-05,인천,D,703,181
2024-02-05,광주,A,648,41
2024-02-06,광주,D,463,113
2024-02-06,광주,B,918,26
2024-02-06,인천,A,863,127
2024-02-07,서울,B,553,117
