date,region,product,sales,profit
2024-01-01,인천,D,489,61
2024-01-01,부산,D,314,140
2024-01-02,대구,C,758,107
2024-01-02,부산,B,809,165
2024-01-03,서울,D,257,47
2024-01-03,광주,D,439,176
2024-01-04,부산,B,103,68
2024-01-04,부산,A,131,110
2024-01-04,대구,C,161,149
2024-01-04,대구,A,171,53
2024-01-05,부산,D,309,26
2024-01-05,부산,B,651,171
2024-01-06,부산,A,334,126
2024-01-06,서울,D,665,93
2024-01-06,부산,B,175,50
2024-01-07,부산,C,232,29
2024-01-07,인천,D,527,122
2024-01-08,인천,B,293,64
2024-01-08,대구,B,965,82
2024-01-08,대구,D,126,54
2024-01-08,광주,A,103,163
2024-01-09,인천,A,755,95
2024-01-09,대구,C,786,146
2024-01-10,대구,D,478,172
2024-01-10,부산,B,852,105
2024-01-11,서울,D,625,184
2024-01-11,대구,C,835,138
2024-01-12,인천,B,133,15
2024-01-12,인천,B,585,79
2024-01-13,서울,C,405,170
2024-01-13,인천,B,886,24
2024-01-13,서울,A,182,10
2024-01-14,인천,A,728,140
2024-01-15,인천,A,594,121
2024-01-15,인천,B,557,90
2024-01-16,대구,B,527,29
2024-01-16,광주,C,297,113
2024-01-17,광주,C,301,136
2024-01-17,서울,C,729,99
2024-01-17,부산,A,313,72
2024-01-18,부산,A,574,59
2024-01-18,서울,C,873,112
2024-01-18,대구,B,755,147
2024-01-18,서울,A,461,106
2024-01-19,서울,C,617,100
2024-01-19,서울,D,573,108
2024-01-19,부산,A,176,60
2024-01-19,대구,C,431,182
2024-01-19,광주,B,790,111
2024-01-19,부산,C,358,74
2024-01-20,광주,A,575,75
2024-01-20,광주,B,590,21
2024-01-20,부산,B,464,52
2024-01-21,인천,C,914,98
2024-01-21,광주,D,203,157
2024-01-22,부산,A,819,117
2024-01-23,인천,C,494,166
2024-01-23,대구,B,709,104
2024-01-23,대구,C,923,52
2024-01-23,광주,C,396,92
2024-01-24,서울,B,724,117
2024-01-24,부산,C,528,150
2024-01-24,대구,C,402,144
2024-01-24,서울,D,116,185
2024-01-25,인천,D,769,23
2024-01-25,인천,B,591,57
2024-01-25,부산,A,122,172
2024-01-25,인천,B,356,117
2024-01-25,서울,A,737,147
2024-01-25,부산,B,441,11
2024-01-26,부산,A,205,60
2024-01-26,대구,C,663,167
2024-01-26,대구,C,513,125
2024-01-27,부산,A,533,139
2024-01-27,서울,D,652,66
2024-01-27,광주,B,945,81
2024-01-27,인천,D,525,145
2024-01-28,서울,C,261,75
2024-01-28,대구,B,685,127
2024-01-29,대구,A,776,29
2024-01-29,서울,B,944,78
2024-01-30,광주,D,594,168
2024-01-30,인천,C,890,148
2024-01-31,광주,B,921,39
2024-01-31,인천,D,794,138
2024-01-31,서울,C,940,181
2024-02-01,부산,D,127,84
2024-02-01,인천,B,364,96
2024-02-02,부산,A,829,153
2024-02-03,대구,D,913,125
2024-02-03,부산,A,934,55
2024-02-03,부산,B,232,13
2024-02-03,대구,C,313,25
2024-02-03,대구,A,932,188
2024-02-03,광주,C,149,190
2024-02-04,광주,B,402,13
2024-02-05,부산,B,134,185
2024-02-05,서울,B,951,163
2024-02-05,광주,D,769,118
2024-02-06,서울,A,276,56
2024-02-06,서울,D,998,101
2024-02-07,인천,A,905,127
2024-02-07,인천,D,668,156
2024-02-07,부산,B,695,172
2024-02-07,인천,D,415,170
2024-02-07,서울,A,773,167
2024-02-08,광주,B,292,189
2024-02-08,대구,D,364,131
2024-02-08,광주,D,896,55
2024-02-08,광주,B,421,157
2024-02-09,광주,D,350,145
2024-02-10,광주,B,725,130
2024-02-10,대구,C,188,85
2024-02-11,서울,D,170,195
2024-02-11,부산,D,432,21
2024-02-12,서울,C,366,163
2024-02-12,서울,B,907,26
2024-02-12,부산,B,154,62
2024-02-12,대구,D,694,151
2024-02-12,서울,C,105,159
2024-02-13,부산,B,747,27
